11/18/2013 7:00:00 AM,11/18/2013 7:01:00 AM,11/18/2013 7:01:20 AM,11/18/2013 7:03:50 AM
11/18/2013 7:15:00 AM,11/18/2013 7:16:00 AM,11/18/2013 7:16:20 AM,11/18/2013 7:18:56 AM
11/18/2013 7:30:00 AM,11/18/2013 7:31:00 AM,11/18/2013 7:31:34 AM,11/18/2013 7:34:48 AM
11/18/2013 7:45:00 AM,11/18/2013 7:45:53 AM,11/18/2013 7:46:25 AM,11/18/2013 7:49:33 AM
11/18/2013 8:00:00 AM,11/18/2013 8:00:47 AM,11/18/2013 8:01:17 AM,11/18/2013 8:03:57 AM
11/18/2013 8:15:00 AM,11/18/2013 8:15:53 AM,11/18/2013 8:16:23 AM,11/18/2013 8:19:26 AM
11/18/2013 8:30:00 AM,11/18/2013 8:31:00 AM,11/18/2013 8:31:31 AM,11/18/2013 8:34:55 AM
11/18/2013 8:45:09 AM,11/18/2013 8:46:08 AM,11/18/2013 8:46:30 AM,11/18/2013 8:50:10 AM
11/18/2013 9:00:00 AM,11/18/2013 9:00:52 AM,11/18/2013 9:01:18 AM,11/18/2013 9:04:35 AM
11/18/2013 9:15:00 AM,11/18/2013 9:15:48 AM,11/18/2013 9:16:16 AM,11/18/2013 9:19:24 AM
11/18/2013 9:30:00 AM,11/18/2013 9:30:52 AM,11/18/2013 9:31:19 AM,11/18/2013 9:34:29 AM
11/18/2013 9:45:00 AM,11/18/2013 9:45:52 AM,11/18/2013 9:46:24 AM,11/18/2013 9:49:30 AM
11/18/2013 10:00:00 AM,11/18/2013 10:00:49 AM,11/18/2013 10:01:15 AM,11/18/2013 10:04:05 AM
11/18/2013 10:15:00 AM,11/18/2013 10:15:49 AM,11/18/2013 10:16:13 AM,11/18/2013 10:18:56 AM
11/18/2013 10:30:00 AM,11/18/2013 10:30:50 AM,11/18/2013 10:31:12 AM,11/18/2013 10:33:53 AM
11/18/2013 10:45:00 AM,11/18/2013 10:45:51 AM,11/18/2013 10:46:19 AM,11/18/2013 10:49:21 AM
11/18/2013 11:00:00 AM,11/18/2013 11:00:47 AM,11/18/2013 11:01:11 AM,11/18/2013 11:03:58 AM
11/18/2013 11:15:00 AM,11/18/2013 11:15:48 AM,11/18/2013 11:16:10 AM,11/18/2013 11:18:52 AM
11/18/2013 11:30:00 AM,11/18/2013 11:30:45 AM,11/18/2013 11:31:04 AM,11/18/2013 11:34:05 AM
11/18/2013 11:45:00 AM,11/18/2013 11:45:52 AM,11/18/2013 11:46:18 AM,11/18/2013 11:49:10 AM
11/18/2013 12:00:00 PM,11/18/2013 12:00:48 PM,11/18/2013 12:01:14 PM,11/18/2013 12:04:00 PM
11/18/2013 12:15:00 PM,11/18/2013 12:15:52 PM,11/18/2013 12:16:19 PM,11/18/2013 12:19:00 PM
11/18/2013 12:30:00 PM,11/18/2013 12:30:49 PM,11/18/2013 12:31:15 PM,11/18/2013 12:33:34 PM
11/18/2013 12:45:00 PM,11/18/2013 12:45:53 PM,11/18/2013 12:46:20 PM,11/18/2013 12:48:38 PM
11/18/2013 1:00:00 PM,11/18/2013 1:00:53 PM,11/18/2013 1:01:18 PM,11/18/2013 1:03:41 PM
11/18/2013 1:15:00 PM,11/18/2013 1:15:53 PM,11/18/2013 1:16:18 PM,11/18/2013 1:18:43 PM
11/18/2013 1:30:00 PM,11/18/2013 1:30:51 PM,11/18/2013 1:31:12 PM,11/18/2013 1:33:36 PM
11/18/2013 1:45:00 PM,11/18/2013 1:45:50 PM,11/18/2013 1:46:15 PM,11/18/2013 1:48:44 PM
11/18/2013 2:00:00 PM,11/18/2013 2:00:50 PM,11/18/2013 2:01:14 PM,11/18/2013 2:03:53 PM
11/18/2013 2:15:00 PM,11/18/2013 2:15:50 PM,11/18/2013 2:16:13 PM,11/18/2013 2:18:51 PM
11/18/2013 2:30:00 PM,11/18/2013 2:30:52 PM,11/18/2013 2:31:09 PM,11/18/2013 2:33:44 PM
11/18/2013 2:45:00 PM,11/18/2013 2:45:50 PM,11/18/2013 2:46:07 PM,11/18/2013 2:48:39 PM
11/18/2013 3:00:00 PM,11/18/2013 3:00:51 PM,11/18/2013 3:01:06 PM,11/18/2013 3:03:31 PM
11/18/2013 3:15:00 PM,11/18/2013 3:15:47 PM,11/18/2013 3:16:08 PM,11/18/2013 3:18:47 PM
11/18/2013 3:30:00 PM,11/18/2013 3:30:49 PM,11/18/2013 3:31:11 PM,11/18/2013 3:34:01 PM
11/18/2013 3:45:00 PM,11/18/2013 3:45:50 PM,11/18/2013 3:46:11 PM,11/18/2013 3:48:57 PM
11/18/2013 4:00:00 PM,11/18/2013 4:00:52 PM,11/18/2013 4:01:11 PM,11/18/2013 4:03:43 PM
11/18/2013 4:15:00 PM,11/18/2013 4:15:49 PM,11/18/2013 4:16:10 PM,11/18/2013 4:18:24 PM
11/18/2013 4:30:00 PM,11/18/2013 4:30:48 PM,11/18/2013 4:31:10 PM,11/18/2013 4:33:21 PM
11/18/2013 4:45:00 PM,11/18/2013 4:45:43 PM,11/18/2013 4:46:01 PM,11/18/2013 4:48:15 PM
11/18/2013 5:00:00 PM,11/18/2013 5:00:45 PM,11/18/2013 5:01:01 PM,11/18/2013 5:03:23 PM
11/18/2013 5:15:00 PM,11/18/2013 5:15:45 PM,11/18/2013 5:16:04 PM,11/18/2013 5:18:25 PM
11/18/2013 5:30:00 PM,11/18/2013 5:30:49 PM,11/18/2013 5:31:08 PM,11/18/2013 5:33:23 PM
11/18/2013 5:45:00 PM,11/18/2013 5:45:48 PM,11/18/2013 5:46:06 PM,11/18/2013 5:48:17 PM
11/18/2013 6:00:00 PM,11/18/2013 6:00:48 PM,11/18/2013 6:01:06 PM,11/18/2013 6:03:19 PM
11/18/2013 6:15:00 PM,11/18/2013 6:15:47 PM,11/18/2013 6:16:07 PM,11/18/2013 6:18:14 PM
11/18/2013 6:30:00 PM,11/18/2013 6:30:50 PM,11/18/2013 6:31:12 PM,11/18/2013 6:33:21 PM
11/18/2013 7:03:41 PM,11/18/2013 7:04:29 PM,11/18/2013 7:04:56 PM,11/18/2013 7:07:10 PM
11/18/2013 7:30:22 PM,11/18/2013 7:31:07 PM,11/18/2013 7:31:08 PM,11/18/2013 7:33:44 PM
11/18/2013 8:00:00 PM,11/18/2013 8:00:48 PM,11/18/2013 8:01:11 PM,11/18/2013 8:03:30 PM
11/18/2013 8:30:23 PM,11/18/2013 8:31:12 PM,11/18/2013 8:31:40 PM,11/18/2013 8:34:00 PM
11/18/2013 9:00:00 PM,11/18/2013 9:00:45 PM,11/18/2013 9:00:56 PM,11/18/2013 9:03:23 PM
11/18/2013 9:25:25 PM,11/18/2013 9:26:26 PM,11/18/2013 9:31:53 PM,11/18/2013 9:33:54 PM
11/18/2013 10:25:28 PM,11/18/2013 10:26:30 PM,11/18/2013 10:31:53 PM,11/18/2013 10:34:18 PM
11/18/2013 11:24:20 PM,11/18/2013 11:25:16 PM,11/18/2013 11:31:49 PM,11/18/2013 11:34:15 PM
11/19/2013 12:23:49 AM,11/19/2013 12:24:34 AM,11/19/2013 12:31:42 AM,11/19/2013 12:34:03 AM